LA Email,Slack User Account Email,Student,Question: Slack Question Name,Class,Program Name To Lookup,Topic,Type,Week #,Session Number,Question Status,Dismissed Reason,Student Rating,Length of Exchange LA,Length of Exchange Student,Length of Exchange Total,Question Id,Question: ID,Question Created Time,Question First Claimed Time,Question First Response Time,Question Resolved Time,Time To First Claimed (Minutes),Time To First Response (Minutes),Time To Most Recent Claimed (Minutes),Time To Resolution (Minutes),Zoom Request Sent,Zoom Request Accepted,Zoom Call Start Time,Zoom Call End Time,Zoom Call Duration,Zoom Call ID,GroupByHour
mk@company.com,d@@email.com,student,SQ-87,class,dvo,Module 8,Online Lesson,7,8.1,Resolved,,5,5,2,7,169544,a4z6S000002unXW,7/26/2022 7:39 PM,7/26/2022 7:42 PM,7/26/2022 7:43 PM,7/26/2022 7:57 PM,3.27,3.62,3.27,18.28,1,1,,,,923-8390-3890,19
kv@company.com,ri@email.com,student,SQ-88,class,dvo,Python,Online Lesson,7,8.1,Resolved,,5,11,5,16,169542,a4z6S000002unXM,7/26/2022 7:30 PM,7/26/2022 7:31 PM,7/26/2022 7:32 PM,7/26/2022 7:46 PM,1.15,2.52,1.15,16.33,1,1,,,,975-7167-1754,19
dh@company.com,se@email.com,student,SQ-89,class,dvo,Module 4,Online Lesson,4,5.1,Resolved,,,21,11,32,169546,a4z6S000002unXg,7/26/2022 7:41 PM,7/26/2022 7:41 PM,7/26/2022 7:43 PM,7/26/2022 8:15 PM,0.4,2.02,0.4,34.03,0,0,,,,,19
mme@company.com,re@email.com,student,SQ-90,class,dvo,Tableau,Assignment,22,22.1,Resolved,,,11,6,17,169568,a4z6S000002unZN,7/26/2022 8:52 PM,7/26/2022 8:52 PM,7/26/2022 8:53 PM,7/26/2022 9:03 PM,0.47,0.8,0.47,11.07,0,0,,,,,20
dc@company.com,ra@email.com,student,SQ-91,class,dvo,"Moduele 12.4.3 Belly button dempographic, Plotly",Online Lesson,17,17.1,Resolved,,,7,7,14,169561,a4z6S000002unYo,7/26/2022 8:40 PM,7/26/2022 8:41 PM,7/26/2022 8:42 PM,7/26/2022 8:49 PM,1.18,2.15,1.18,8.48,0,0,,,,,20
cs@company.com,gr@email.com,student,SQ-92,class,dvo,"ASSIGNMENT 4, Python in Jupyter Notebook",Assignment,13,13.1,Resolved,,,14,13,27,169556,a4z6S000002unYU,7/26/2022 8:30 PM,7/26/2022 8:30 PM,7/26/2022 8:32 PM,7/26/2022 9:17 PM,0.28,2.02,0.28,46.53,1,1,,,,998-5633-5377,20
lp@company.com,em@email.com,student,SQ-93,class,dvo,javascript,Other,13,13.1,Resolved,,5,11,12,23,169553,a4z6S000002unYF,7/26/2022 8:17 PM,7/26/2022 8:19 PM,7/26/2022 8:19 PM,7/26/2022 8:39 PM,1.05,1.87,1.05,21.72,0,0,,,,,20
lz@company.com,ju@email.com,student,SQ-94,class,dvo,Module 11 web Challenge,Assignment,12,13.1,Closed,Activity Timeout,,17,1,18,169560,a4z6S000002unYa,7/26/2022 8:39 PM,7/26/2022 8:39 PM,7/26/2022 8:40 PM,,0.27,0.55,0.27,,1,1,,,,979-7441-5254,20
lz@company.com,mr@email.com,student,SQ-95,class,dvo,Splinter 10.3.1,Online Lesson,12,12.1,Resolved,,5,19,16,35,169550,a4z6S000002unY0,7/26/2022 8:12 PM,7/26/2022 8:12 PM,7/26/2022 8:12 PM,7/26/2022 8:34 PM,0.6,0.8,0.6,22.62,0,0,,,,,20
js@company.com,on@email.com,student,SQ-96,class,dvo,Jupyter,Online Lesson,4,5.1,Closed,Student Unresponsive,,3,1,4,169557,a4z6S000002unYZ,7/26/2022 8:33 PM,7/26/2022 8:33 PM,7/26/2022 8:33 PM,,0.27,0.7,0.27,,0,0,,,,,20
dc@company.com,on@email.com,student,SQ-97,class,dvo,Jupyter,Online Lesson,4,5.1,Resolved,,,5,4,9,169566,a4z6S000002unZD,7/26/2022 8:49 PM,7/26/2022 8:49 PM,7/26/2022 8:49 PM,7/26/2022 8:56 PM,0.13,0.32,0.13,7.27,0,0,,,,,20
w@company.com,se@email.com,student,SQ-98,class,dvo,Module 4 challenge,Online Lesson,4,5.1,Resolved,,,19,11,30,169573,a4z6S000002unZh,7/26/2022 8:58 PM,7/26/2022 8:58 PM,7/26/2022 8:59 PM,7/26/2022 9:17 PM,0.45,0.88,0.45,19.32,0,0,,,,,20
mme@company.com,ma@email.com,student,SQ-99,class,dv,Module 8 Challenge,Assignment,9,9.1,Resolved,,5,4,1,5,169555,a4z6S000002unYP,7/26/2022 8:22 PM,7/26/2022 8:23 PM,7/26/2022 8:23 PM,7/26/2022 8:33 PM,0.57,0.77,6.68,11.4,0,0,,,,,20
lp@company.com,ca@email.com,student,SQ-100,class,dvo,SQL,Online Lesson,6,7.1,Resolved,,5,47,24,71,169572,a4z6S000002unZc,7/26/2022 8:56 PM,7/26/2022 8:58 PM,7/26/2022 8:59 PM,7/26/2022 10:19 PM,1.15,2.45,1.15,82.92,0,0,,,,,20
cl@company.com,ca@email.com,student,SQ-101,class,dvo,SQL,Online Lesson,6,7.1,Resolved,,5,10,2,12,169554,a4z6S000002unYK,7/26/2022 8:21 PM,7/26/2022 8:21 PM,7/26/2022 8:21 PM,7/26/2022 8:29 PM,0.58,0.7,0.58,8.72,0,0,,,,,20
to@company.com,wo@email.com,student,SQ-102,class,dvo,Python,Assignment,6,7.1,Resolved,,5,30,23,53,169552,a4z6S000002unYA,7/26/2022 8:14 PM,7/26/2022 8:14 PM,7/26/2022 8:14 PM,7/26/2022 8:52 PM,0.33,0.48,0.33,37.85,0,0,,,,,20
kv@company.com,bo@email.com,student,SQ-103,class,dvo,giit hub,Assignment,6,7.1,Resolved,,5,53,26,79,169574,a4z6S000002unZm,7/26/2022 8:59 PM,7/26/2022 9:00 PM,7/26/2022 9:00 PM,7/26/2022 9:43 PM,0.58,1.25,0.58,43.98,0,0,,,,,20
cc@company.com,bo@email.com,student,SQ-104,class,dvo,git bash,Assignment,6,7.1,Resolved,,5,24,9,33,169562,a4z6S000002unYt,7/26/2022 8:42 PM,7/26/2022 8:42 PM,7/26/2022 8:42 PM,7/26/2022 8:57 PM,0.33,0.88,0.33,15.08,0,0,,,,,20
mme@company.com,eh@email.com,student,SQ-105,class,dvo,JavaScript,Assignment,21,21.1,Resolved,,,19,18,37,169589,a4z6S000002unb4,7/26/2022 9:32 PM,7/26/2022 9:33 PM,7/26/2022 9:33 PM,7/26/2022 9:46 PM,0.22,0.47,0.22,13.53,0,0,,,,,21
mme@company.com,va@email.com,student,SQ-106,class,dvo,Kernal keeps getting disconnected,In-Class Activity,17,17.1,Resolved,,,20,12,32,169579,a4z6S000002unaB,7/26/2022 9:12 PM,7/26/2022 9:12 PM,7/26/2022 9:12 PM,7/26/2022 9:32 PM,0.4,0.65,0.4,19.83,1,1,,,,984-8938-2989,21
js@company.com,ra@email.com,student,SQ-107,class,dvo,Module 12.5.1 deploying project to github,Online Lesson,17,17.1,Resolved,,,19,15,34,169590,a4z6S000002unb9,7/26/2022 9:34 PM,7/26/2022 9:42 PM,7/26/2022 9:43 PM,7/26/2022 10:01 PM,8.23,8.67,8.23,26.68,0,0,,,,,21
lz@company.com,to@email.com,student,SQ-108,class,dvo,JavaScript,Assignment,13,13.1,Closed,Student Unresponsive,,38,31,69,169580,a4z6S000002unaG,7/26/2022 9:13 PM,7/26/2022 9:17 PM,7/26/2022 9:18 PM,,4.1,4.4,60.68,,0,0,,,,,21
w@company.com,an@email.com,student,SQ-109,class,dvo,"HTML, Java",Online Lesson,13,13.1,Resolved,,5,9,6,15,169585,a4z6S000002unaf,7/26/2022 9:25 PM,7/26/2022 9:28 PM,7/26/2022 9:28 PM,7/26/2022 10:28 PM,2.65,3.02,2.65,63.38,1,1,,,,992-4323-0841,21
dc@company.com,he@email.com,student,SQ-110,class,dvo,JavaScript,Online Lesson,12,12.1,Resolved,,5,17,13,30,169594,a4z6S000002unbT,7/26/2022 9:49 PM,7/26/2022 9:50 PM,7/26/2022 9:51 PM,7/26/2022 10:14 PM,0.9,1.32,0.9,24.17,0,0,,,,,21
cl@company.com,ri@email.com,student,SQ-111,class,dvo,Gitlab,Other,7,8.1,Resolved,,5,12,8,20,169584,a4z6S000002unaa,7/26/2022 9:19 PM,7/26/2022 9:21 PM,7/26/2022 9:21 PM,7/26/2022 9:26 PM,1.27,1.38,1.27,6.95,0,0,,,,,21
cs@company.com,se@email.com,student,SQ-112,class,dvo,Module 4,Assignment,4,5.1,Resolved,,5,12,4,16,169588,a4z6S000002unaz,7/26/2022 9:29 PM,7/26/2022 9:30 PM,7/26/2022 9:30 PM,7/26/2022 10:01 PM,0.83,0.98,0.83,31.33,0,0,,,,,21
dc@company.com,sa@email.com,student,SQ-113,class,dv,SQL,Assignment,9,9.1,Resolved,,,6,6,12,169583,a4z6S000002unaV,7/26/2022 9:16 PM,7/26/2022 9:18 PM,7/26/2022 9:18 PM,7/26/2022 9:39 PM,1.25,1.43,1.25,22.35,0,0,,,,,21
to@company.com,wo@email.com,student,SQ-114,class,dvo,API,Online Lesson,6,7.1,Resolved,,5,21,15,36,169581,a4z6S000002unaL,7/26/2022 9:15 PM,7/26/2022 9:15 PM,7/26/2022 9:15 PM,7/26/2022 9:45 PM,0.45,0.77,0.45,30.1,0,0,,,,,21
cl@company.com,xu@email.com,student,SQ-115,class,dvo,API,Online Lesson,6,7.1,Resolved,,,20,17,37,169595,a4z6S000002unbY,7/26/2022 9:53 PM,7/26/2022 9:54 PM,7/26/2022 9:54 PM,7/26/2022 11:03 PM,0.95,1.08,0.95,70.47,0,0,,,,,21
as@company.com,mr@email.com,student,SQ-116,class,dvo,"GColab, Machine Learning, Python, TensorFlow",Online Lesson,19,19.1,Resolved,,5,14,19,33,169598,a4z6S000002unbn,7/26/2022 10:08 PM,7/26/2022 10:10 PM,7/26/2022 10:13 PM,7/26/2022 10:37 PM,1.75,4.88,1.75,28.77,0,0,,,,,22
lp@company.com,to@email.com,student,SQ-117,class,dvo,JavaScript,Online Lesson,13,13.1,Resolved,,,29,32,61,169604,a4z6S000002uncH,7/26/2022 10:19 PM,7/26/2022 10:24 PM,7/26/2022 10:25 PM,7/27/2022 12:21 AM,5.67,6.48,5.67,122.52,1,1,,,,942-0115-1828,22
lz@company.com,on@email.com,student,SQ-118,class,dvo,Jupyter,Online Lesson,4,5.1,Resolved,,,25,17,42,169603,a4z6S000002uncC,7/26/2022 10:16 PM,7/26/2022 10:17 PM,7/26/2022 10:18 PM,7/26/2022 11:01 PM,1.28,1.52,1.28,45,1,1,,,,940-0498-1999,22
as@company.com,mm@email.com,student,SQ-119,class,dvo,python-pandas,Online Lesson,4,5.1,Resolved,,5,16,10,26,169606,a4z6S000002uncR,7/26/2022 10:41 PM,7/26/2022 10:44 PM,7/26/2022 10:45 PM,7/26/2022 10:54 PM,3.13,3.5,3.13,13.37,0,0,,,,,22
cs@company.com,on@email.com,student,SQ-120,class,dvo,Jupyter,Online Lesson,4,5.1,Closed,Student Unresponsive,,2,1,3,169599,a4z6S000002unbs,7/26/2022 10:09 PM,7/26/2022 10:19 PM,7/26/2022 10:19 PM,,9.35,9.53,9.35,,0,0,,,,,22
mk@company.com,do@email.com,student,SQ-121,class,dv,VBA,Assignment,2,3.1,Resolved,,1,17,17,34,169612,a4z6S000002uncv,7/26/2022 10:51 PM,7/26/2022 10:53 PM,7/26/2022 10:53 PM,7/26/2022 11:20 PM,1.73,1.98,1.73,28.9,0,0,,,,,22
,do@email.com,student,SQ-122,class,dv,VBA Excel,Assignment,2,3.1,Closed,Student Canceled,,,,0,169597,a4z6S000002unbi,7/26/2022 10:08 PM,,,,,,,,0,0,,,,,22
w@company.com,aj@email.com,student,SQ-123,class,dvo,"instalation, likely python",Other,6,7.1,Resolved,,1,8,4,12,169610,a4z6S000002uncl,7/26/2022 10:49 PM,7/26/2022 10:52 PM,7/26/2022 10:52 PM,7/27/2022 12:29 AM,2.82,3.17,2.82,100.28,1,1,,,,945-0852-1686,22
sm@company.com,re@email.com,student,SQ-124,class,dvo,SQL,Online Lesson,6,7.1,Resolved,,,11,13,24,169607,a4z6S000002uncW,7/26/2022 10:42 PM,7/26/2022 10:45 PM,7/26/2022 10:46 PM,7/26/2022 11:18 PM,3.27,3.9,3.27,35.67,1,1,,,,961-5630-3824,22
as@company.com,po@email.com,student,SQ-125,class,ft,"Python, understanding errors",Assignment,24,23.1,Resolved,,5,9,3,12,169629,a4z6S000002uneI,7/26/2022 11:26 PM,7/26/2022 11:27 PM,7/26/2022 11:27 PM,7/26/2022 11:43 PM,0.77,1.12,0.77,16.47,0,0,,,,,23
sm@company.com,uz@email.com,student,SQ-126,class,dvo,flask,Assignment,23,23.1,Closed,Question Not Valid,,9,8,17,169623,a4z6S000002undo,7/26/2022 11:16 PM,7/26/2022 11:18 PM,7/26/2022 11:20 PM,,1.9,3.18,1.9,,0,0,,,,,23
lz@company.com,co@email.com,student,SQ-127,class,dv,"HTML, CSS, JS, Python",In-Class Activity,18,17.2,Resolved,,,26,8,34,169620,a4z6S000002undZ,7/26/2022 11:09 PM,7/26/2022 11:09 PM,7/26/2022 11:09 PM,7/26/2022 11:32 PM,0.15,0.4,0.15,23.33,0,0,,,,,23
as@company.com,gr@email.com,student,SQ-128,class,dvo,assignment 4,Assignment,13,13.1,Closed,Question Not Valid,,7,8,15,169626,a4z6S000002une3,7/26/2022 11:21 PM,7/26/2022 11:21 PM,7/26/2022 11:22 PM,,0.68,0.97,0.68,,0,0,,,,,23
cs@company.com,gr@email.com,student,SQ-129,class,dvo,assignment 4,Assignment,13,13.1,Resolved,,,2,3,5,169631,a4z6S000002uneS,7/26/2022 11:26 PM,7/26/2022 11:28 PM,7/26/2022 11:28 PM,7/26/2022 11:57 PM,1.45,1.92,1.45,30.43,1,1,,,,958-6503-2653,23
r@company.com,br@email.com,student,SQ-130,class,dvo,HTML Website,Assignment,12,13.1,Resolved,,,44,22,66,169633,a4z6S000002unec,7/26/2022 11:30 PM,7/26/2022 11:32 PM,7/26/2022 11:32 PM,7/27/2022 1:21 AM,2.32,2.52,28.95,111.68,1,1,,,,973-7757-8759,23
cl@company.com,mm@email.com,student,SQ-131,class,dvo,python - pandas,Assignment,4,5.1,Resolved,,5,12,10,22,169624,a4z6S000002undt,7/26/2022 11:19 PM,7/26/2022 11:19 PM,7/26/2022 11:19 PM,7/26/2022 11:34 PM,0.25,0.42,0.25,14.88,0,0,,,,,23
lp@company.com,b_@email.com,student,SQ-132,class,dvo,Pandas,Assignment,4,5.2,Resolved,,,18,16,34,169622,a4z6S000002undj,7/26/2022 11:15 PM,7/26/2022 11:15 PM,7/26/2022 11:16 PM,7/26/2022 11:49 PM,0.6,1.72,0.6,34.43,0,0,,,,,23
sm@company.com,ma@email.com,student,SQ-133,class,dv,Module 8,Online Lesson,9,9.1,Resolved,,,12,13,25,169637,a4z6S000002unew,7/26/2022 11:38 PM,7/26/2022 11:49 PM,7/26/2022 11:49 PM,7/27/2022 12:49 AM,11.28,11.8,11.28,71.17,1,1,,,,918-2558-3417,23
mk@company.com,do@email.com,student,SQ-134,class,dv,VBA Module 2,Assignment,2,3.1,Closed,Question Not Valid,,8,4,12,169627,a4z6S000002une8,7/26/2022 11:22 PM,7/26/2022 11:26 PM,7/26/2022 11:26 PM,,4.3,4.53,4.3,,0,0,,,,,23
cl@company.com,je@email.com,student,SQ-135,class,dvo,jupyter notebook,In-Class Activity,4,5.1,Resolved,,,12,15,27,169638,a4z6S000002unf1,7/26/2022 11:40 PM,7/26/2022 11:40 PM,7/26/2022 11:40 PM,7/26/2022 11:52 PM,0.22,0.35,0.22,12.27,0,0,,,,,23
as@company.com,bo@email.com,student,SQ-136,class,dvo,jupyter notebook,Online Lesson,6,7.1,Resolved,,5,20,10,30,169639,a4z6S000002unf6,7/26/2022 11:44 PM,7/26/2022 11:46 PM,7/26/2022 11:47 PM,7/27/2022 12:02 AM,2.1,3.38,2.1,18.22,0,0,,,,,23
dc@company.com,re@email.com,student,SQ-137,class,dvo,SQL,In-Class Activity,6,7.1,Resolved,,,5,7,12,169630,a4z6S000002uneN,7/26/2022 11:26 PM,7/26/2022 11:27 PM,7/26/2022 11:28 PM,7/26/2022 11:38 PM,1.28,2.02,1.28,11.4,0,0,,,,,23
